CarType,Jan-21,20-Jan,
Compact Car,22394.00,21868.00,
Compact SUV/Crossover,30557.00,29951.00,
Electric Vehicle,53701.00,54669.00,
Entry-level Luxury Car,47125.00,43691.00,
Full-size Car,40046.00,36905.00,
Full-size Pickup Truck,52789.00,50038.00,
Full-size SUV/Crossover,68704.00,62520.00,
Hybrid/Alternative Energy Car,29291.00,28304.00,
Luxury Car,71761.00,64216.00,
Mid-size Car,27714.00,26658.00,
Mid-size Pickup Truck,37678.00,36051.00,
Mid-size SUV/Crossover,41693.00,39837.00,
Minivan,40677.00,36239.00,
Sports Car,43127.00,39762.00,
Subcompact Car,18783.00,18182.00,
Subcompact SUV/Crossover,26368.00,24927.00,
Van,43534.00,40920.00,
